denovo0	Y275-ITSD_denovo18
denovo1	Y275-ITSD_denovo12
denovo2	Y275-ITSD_denovo13
denovo3	Y275-ITSD_denovo10
denovo4	Y275-ITSD_denovo11
denovo5	Y275-ITSD_denovo16
denovo6	Y275-ITSD_denovo17
denovo7	Y275-ITSD_denovo14
denovo8	Y275-ITSD_denovo15
denovo9	Y277-ITSD_denovo25
denovo10	Y277-ITSD_denovo24
denovo11	Y277-ITSD_denovo27
denovo12	Y277-ITSD_denovo26
denovo13	Y277-ITSD_denovo21
denovo14	Y277-ITSD_denovo20
denovo15	Y277-ITSD_denovo23
denovo16	Y277-ITSD_denovo22
denovo17	Y277-ITSD_denovo29
denovo18	Y73-ITSD_denovo7
denovo19	Y67-ITSD_denovo8
denovo20	Y67-ITSD_denovo9
denovo21	Y73-ITSD_denovo6
denovo22	Y67-ITSD_denovo1
denovo23	Y67-ITSD_denovo3
denovo24	Y67-ITSD_denovo4
denovo25	Y67-ITSD_denovo5	Y72-ITSD_denovo25	Y65-ITSD_denovo12
denovo26	Y67-ITSD_denovo6
denovo27	Y67-ITSD_denovo7
denovo28	Y73-ITSD_denovo3
denovo29	Y278-ITSD_denovo9
denovo30	Y278-ITSD_denovo8
denovo31	Y278-ITSD_denovo7
denovo32	Y278-ITSD_denovo6
denovo33	Y278-ITSD_denovo5
denovo34	Y278-ITSD_denovo4
denovo35	Y278-ITSD_denovo3
denovo36	Y278-ITSD_denovo2
denovo37	Y278-ITSD_denovo1
denovo38	Y71-ITSD_denovo17
denovo39	Y71-ITSD_denovo16
denovo40	Y71-ITSD_denovo15
denovo41	Y71-ITSD_denovo14
denovo42	Y71-ITSD_denovo13
denovo43	Y71-ITSD_denovo11
denovo44	Y71-ITSD_denovo10
denovo45	Y275-ITSD_denovo0
denovo46	Y275-ITSD_denovo1
denovo47	Y275-ITSD_denovo2
denovo48	Y275-ITSD_denovo3
denovo49	Y275-ITSD_denovo4
denovo50	Y275-ITSD_denovo5
denovo51	Y71-ITSD_denovo19
denovo52	Y71-ITSD_denovo18
denovo53	Y73-ITSD_denovo12
denovo54	Y273-ITSD_denovo16
denovo55	Y273-ITSD_denovo17
denovo56	Y273-ITSD_denovo10
denovo57	Y273-ITSD_denovo11
denovo58	Y68-ITSD_denovo24
denovo59	Y68-ITSD_denovo25
denovo60	Y68-ITSD_denovo26
denovo61	Y68-ITSD_denovo20
denovo62	Y68-ITSD_denovo21	Y71-ITSD_denovo23
denovo63	Y68-ITSD_denovo22
denovo64	Y71-ITSD_denovo2
denovo65	Y279-ITSD_denovo16
denovo66	Y72-ITSD_denovo16
denovo67	Y71-ITSD_denovo0
denovo68	Y72-ITSD_denovo24
denovo69	Y66-ITSD_denovo11
denovo70	Y71-ITSD_denovo6
denovo71	Y72-ITSD_denovo26
denovo72	Y72-ITSD_denovo12
denovo73	Y276-ITSD_denovo24
denovo74	Y66-ITSD_denovo17
denovo75	Y72-ITSD_denovo13
denovo76	Y276-ITSD_denovo20
denovo77	Y276-ITSD_denovo21
denovo78	Y276-ITSD_denovo22
denovo79	Y66-ITSD_denovo16
denovo80	Y273-ITSD_denovo32
denovo81	Y66-ITSD_denovo34
denovo82	Y273-ITSD_denovo30	Y274-ITSD_denovo12	Y275-ITSD_denovo35	Y277-ITSD_denovo7	Y279-ITSD_denovo5
denovo83	Y273-ITSD_denovo31
denovo84	Y66-ITSD_denovo31
denovo85	Y70-ITSD_denovo9
denovo86	Y66-ITSD_denovo33
denovo87	Y66-ITSD_denovo32
denovo88	Y70-ITSD_denovo4
denovo89	Y70-ITSD_denovo5
denovo90	Y70-ITSD_denovo6
denovo91	Y70-ITSD_denovo7
denovo92	Y70-ITSD_denovo0
denovo93	Y70-ITSD_denovo2
denovo94	Y70-ITSD_denovo3
denovo95	Y65-ITSD_denovo21
denovo96	Y65-ITSD_denovo20
denovo97	Y65-ITSD_denovo22
denovo98	Y279-ITSD_denovo17
denovo99	Y68-ITSD_denovo6
denovo100	Y279-ITSD_denovo12
denovo101	Y279-ITSD_denovo32
denovo102	Y279-ITSD_denovo13
denovo103	Y68-ITSD_denovo0
denovo104	Y73-ITSD_denovo28
denovo105	Y73-ITSD_denovo29
denovo106	Y73-ITSD_denovo24
denovo107	Y73-ITSD_denovo25
denovo108	Y73-ITSD_denovo26
denovo109	Y73-ITSD_denovo27
denovo110	Y73-ITSD_denovo20
denovo111	Y73-ITSD_denovo21
denovo112	Y73-ITSD_denovo22
denovo113	Y68-ITSD_denovo3
denovo114	Y279-ITSD_denovo34
denovo115	Y68-ITSD_denovo2
denovo116	Y66-ITSD_denovo24
denovo117	Y279-ITSD_denovo4
denovo118	Y279-ITSD_denovo6
denovo119	Y279-ITSD_denovo7
denovo120	Y279-ITSD_denovo0
denovo121	Y279-ITSD_denovo1
denovo122	Y279-ITSD_denovo2
denovo123	Y279-ITSD_denovo3
denovo124	Y279-ITSD_denovo8
denovo125	Y66-ITSD_denovo25
denovo126	Y68-ITSD_denovo19
denovo127	Y68-ITSD_denovo18
denovo128	Y68-ITSD_denovo15
denovo129	Y68-ITSD_denovo14
