otu	sim	del	ins	mis	len	score	hit
1	denovo734	72.8	14	11	43	250	252	A119_AF180121
2	denovo1027	71.68	10	14	57	286	302.5	G2a_AM748599;G2_AM748598
3	denovo568	71.38	17	11	59	304	351.5	F3.1a_AM748566
4	denovo694	72.55	12	16	56	306	357.5	I2_FN561560
5	denovo665	74.18	14	15	50	306	367	I1_FN561559
6	denovo222	69.61	14	13	66	306	368.5	I1_FN561559
7	denovo1222	70.59	19	12	59	306	370	I1_FN561559
8	denovo108	69.75	12	11	62	281	375	F4.4a_AM748583
9	denovo710	70.59	12	15	63	306	376.5	I1_FN561559
10	denovo748	68.63	15	13	68	306	388.5	I1_FN561559
11	denovo170	75.35	12	10	48	284	429	B23_EU449079
12	denovo36	72.79	13	14	53	294	449	F5.1d_JN558069
13	denovo871	77.3	10	11	48	304	508.5	F3.1a_AM748566
14	denovo41	86.67	2	7	29	285	908	C28_AY239380
15	denovo444	93.48	1	7	10	276	970	C32.1_JF683335
16	denovo444	93.84	2	3	12	276	970	C21.8_JF683329;C21.7_JF683328;C21.16_HQ630875;C21/3d/C3k_AY239372
17	denovo182	91.99	5	4	14	287	978.5	B1j_GU907637
18	denovo1245	92.33	4	4	14	287	995.5	B1j_GU907637
19	denovo928	91.7	5	6	10	253	997.5	F4.2_AM748574
20	denovo276	89.05	4	5	22	283	999	C1198_EU099810;C1h_AY258473;C1.6_FJ461493
21	denovo461	94.44	2	7	7	288	1021.5	B1g_GU907635
22	denovo30	95.56	2	4	6	270	1037	D102_AF174573
23	denovo634	93.4	3	2	14	288	1042.5	B1g_GU907635
24	denovo957	88.41	21	1	10	276	1047.5	C21.2_JF683324;C21.22_KC597692
25	denovo957	88.13	23	1	9	278	1047.5	C17.2_FJ461513
26	denovo947	93.38	0	1	18	287	1048.5	B1j_GU907637
27	denovo124	90.04	8	5	15	281	1050	F4.2_AM748574
28	denovo944	93.73	2	1	15	287	1054.5	B1j_GU907637
29	denovo499	94.1	3	4	9	271	1063	D1a.1_JF683338
30	denovo1246	94.44	2	3	11	288	1064.5	B1g_GU907635
31	denovo11	93.53	3	8	7	278	1087	C63a_AY589767
32	denovo391	90.75	6	3	17	281	1088	F4.2_AM748574
33	denovo960	95.49	3	3	7	288	1089.5	B1g_GU907635
